County	Site	 Aflatoxin 	Concentration
Busia	NCPB depot	AFB1	0.45
Busia	NCPB depot	AFB1	0.25
Busia	NCPB depot	AFB1	0.95
Busia	NCPB depot	AFB1	0.15
Busia	NCPB depot	AFB1	0.01
Busia	NCPB depot	AFB1	0.85
Busia	NCPB depot	AFB1	0.5
Busia	NCPB depot	AFB1	0.5
Busia	NCPB depot	AFB1	0.35
Busia	NCPB depot	AFB1	0.65
Busia	NCPB depot	AFB1	0.45
Busia	NCPB depot	AFB1	0.1
Busia	NCPB depot	AFB1	0.25
Busia	NCPB depot	AFB1	0.15
Busia	NCPB depot	AFB1	0.45
Busia	NCPB depot	AFB1	2.2
Busia	NCPB depot	AFB1	0.25
Busia	NCPB depot	AFB1	0.5
Busia	NCPB depot	AFB1	0.35
Busia	NCPB depot	AFB1	0.35
Busia	NCPB depot	AFB1	1.3
Busia	NCPB depot	AFB1	0.6
Busia	NCPB depot	AFB1	0.5
Busia	NCPB depot	AFB2	0.02
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.03
Busia	NCPB depot	AFB2	0.01
Busia	NCPB depot	AFB2	0.2
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.1
Busia	NCPB depot	AFB2	0.2
Busia	NCPB depot	AFB2	0.07
Busia	NCPB depot	AFB2	0.2
Busia	NCPB depot	AFB2	0.02
Busia	NCPB depot	AFG1	0.02
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.1
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.1
Busia	NCPB depot	AFG1	0.1
Busia	NCPB depot	AFG1	0.03
Busia	NCPB depot	AFG1	0.04
Busia	NCPB depot	AFG1	0.02
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.02
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.01
Busia	NCPB depot	AFG1	0.1
Busia	NCPB depot	AFG1	0.1
Busia	NCPB depot	AFG1	0.1
Busia	NCPB depot	AFG1	0.2
Busia	NCPB depot	AFG1	0.02
Busia	NCPB depot	AFG1	0.02
Busia	NCPB depot	AFG1	0.02
Busia	NCPB depot	AFG2	0.12
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.01
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.1
Busia	NCPB depot	AFG2	0.2
Busia	NCPB depot	AFG2	0.01
Busia	Wholesale storeÂ	AFB1	0.68
Busia	Wholesale storeÂ	AFB1	0.89
Busia	Wholesale storeÂ	AFB1	0.82
Busia	Wholesale storeÂ	AFB1	1.47
Busia	Wholesale storeÂ	AFB1	1.55
Busia	Wholesale storeÂ	AFB1	1.6
Busia	Wholesale storeÂ	AFB1	2.62
Busia	Wholesale storeÂ	AFB1	1.05
Busia	Wholesale storeÂ	AFB1	3.21
Busia	Wholesale storeÂ	AFB1	2.1
Busia	Wholesale storeÂ	AFB1	2.74
Busia	Wholesale storeÂ	AFB1	2.61
Busia	Wholesale storeÂ	AFB1	3.6
Busia	Wholesale storeÂ	AFB1	1.81
Busia	Wholesale storeÂ	AFB1	1.05
Busia	Wholesale storeÂ	AFB1	0.76
Busia	Wholesale storeÂ	AFB1	1.02
Busia	Wholesale storeÂ	AFB1	1.04
Busia	Wholesale storeÂ	AFB1	1.03
Busia	Wholesale storeÂ	AFB1	1.46
Busia	Wholesale storeÂ	AFB1	1.06
Busia	Wholesale storeÂ	AFB1	1.16
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.03
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFB2	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.03
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG1	0.01
Busia	Wholesale storeÂ	AFG2	0.01
